sk_driver,driver_code,last_name,first_name,gender,birth_date,hire_date,experience_years,license_type,phone,salary_monthly,availability,status,country_code
1,DRV-FR-001,Schmidt,Sofia,F,1999-06-09,2015-06-09,12,C1E,+337000000,3549.0,Leave,Active,FR
2,DRV-FR-002,Muller,Alex,M,1989-03-03,2022-03-03,17,C1E,+337000001,3714.0,Leave,Active,FR
3,DRV-FR-003,Martin,Nora,M,1997-05-17,2016-05-17,15,CE,+337000002,3872.0,Busy,Active,FR
4,DRV-FR-004,Dubois,Sofia,F,1992-04-01,2023-04-01,10,C,+337000003,3667.0,Available,Active,FR
5,DRV-FR-005,Schmidt,Sofia,F,1994-06-06,2021-06-06,12,C1E,+337000004,3069.0,Leave,Active,FR
6,DRV-FR-006,Bernard,Nora,F,1996-04-07,2011-04-07,14,C,+337000005,3871.0,Available,Active,FR
7,DRV-FR-007,Garcia,Marta,F,1978-10-04,2019-10-04,16,C,+337000006,3553.0,Available,Active,FR
8,DRV-FR-008,Martin,Lucas,M,1977-09-12,2010-09-12,15,C1E,+337000007,3552.0,Leave,Active,FR
9,DRV-FR-009,Muller,Hugo,M,1997-07-22,2020-07-22,5,C,+337000008,3922.0,Available,Active,FR
10,DRV-FR-010,Muller,Hugo,M,1982-07-19,2020-07-19,5,C,+337000009,3082.0,Available,Active,FR
11,DRV-FR-011,Schmidt,Sofia,F,1984-06-18,2011-06-18,12,C1E,+337000010,3909.0,Leave,Active,FR
12,DRV-FR-012,Martin,Lucas,M,1975-09-18,2010-09-18,3,C1E,+337000011,3000.0,Leave,Active,FR
13,DRV-FR-013,Martin,Nora,M,1976-05-23,2012-05-23,19,CE,+337000012,3176.0,Busy,Active,FR
14,DRV-FR-014,Rossi,Daniel,M,1998-03-27,2020-03-27,21,C1E,+337000013,3198.0,Leave,Active,FR
15,DRV-FR-015,Bernard,Emma,F,1976-12-12,2013-12-12,14,C1E,+337000014,2751.0,Leave,Active,FR
16,DRV-FR-016,Schmidt,Emma,F,1979-10-07,2017-10-07,12,C,+337000015,2629.0,Available,Active,FR
17,DRV-FR-017,Bernard,Nora,F,1995-04-07,2013-04-07,18,C,+337000016,3295.0,Available,Active,FR
18,DRV-FR-018,Muller,Hugo,M,1981-07-16,2014-07-16,9,C,+337000017,3106.0,Available,Active,FR
19,DRV-DE-001,Schmidt,Emma,F,1990-10-10,2015-10-10,8,C,+497000000,2965.0,Available,Active,DE
20,DRV-DE-002,Lopez,Hugo,M,1991-09-27,2020-09-27,19,C1E,+497000001,2316.0,Leave,Active,DE
21,DRV-DE-003,Martin,Nora,M,1999-05-26,2014-05-26,7,CE,+497000002,3224.0,Busy,Active,DE
22,DRV-DE-004,Garcia,Marta,F,1998-10-16,2011-10-16,16,C,+497000003,3673.0,Available,Active,DE
23,DRV-DE-005,Schmidt,Emma,F,1982-10-19,2011-10-19,20,C,+497000004,3757.0,Available,Active,DE
24,DRV-DE-006,Schmidt,Daniel,F,1976-02-26,2021-02-26,4,CE,+497000005,3701.0,Busy,Active,DE
25,DRV-DE-007,Garcia,Alex,F,1976-02-17,2015-02-17,4,CE,+497000006,2801.0,Busy,Active,DE
26,DRV-DE-008,Martin,Nora,M,1984-05-11,2014-05-11,7,CE,+497000007,2984.0,Busy,Active,DE
27,DRV-DE-009,Muller,Marta,M,1993-11-14,2014-11-14,21,CE,+497000008,2618.0,Busy,Active,DE
28,DRV-DE-010,Lopez,Daniel,M,1982-01-10,2014-01-10,15,C,+497000009,3532.0,Available,Active,DE
29,DRV-DE-011,Dubois,Marta,F,1988-12-06,2011-12-06,6,C1E,+497000010,2763.0,Leave,Active,DE
30,DRV-DE-012,Rossi,Daniel,M,1989-03-24,2018-03-24,17,C1E,+497000011,2214.0,Leave,Active,DE
31,DRV-DE-013,Rossi,Daniel,M,1995-03-06,2022-03-06,13,C1E,+497000012,3870.0,Leave,Active,DE
32,DRV-DE-014,Bernard,Emma,F,1985-12-06,2011-12-06,18,C1E,+497000013,3735.0,Leave,Active,DE
33,DRV-DE-015,Bernard,Emma,F,1991-12-03,2021-12-03,14,C1E,+497000014,2391.0,Leave,Active,DE
